"Année","Canton (-) / District (>>) / Commune (......)","Durée du mariage","Nationalité (catégorie) partenaire 1","Nationalité (catégorie) partenaire 2 - total","Suisse","Étranger"
"1973","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1478,...,...
"1973","Suisse","10-14 ans","Suisse",...,...,...
"1973","Suisse","10-14 ans","Étranger",...,...,...
"1973","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",925,...,...
"1973","Suisse","15-19 ans","Suisse",...,...,...
"1973","Suisse","15-19 ans","Étranger",...,...,...
"1973","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",1141,...,...
"1973","Suisse","20 ans ou plus","Suisse",...,...,...
"1973","Suisse","20 ans ou plus","Étranger",...,...,...
"1974","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",8188,...,...
"1974","Suisse","Durée du mariage - total","Suisse",...,...,...
"1974","Suisse","Durée du mariage - total","Étranger",...,...,...
"1974","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1898,...,...
"1974","Suisse","0-4 ans","Suisse",...,...,...
"1974","Suisse","0-4 ans","Étranger",...,...,...
"1974","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",2610,...,...
"1974","Suisse","5-9 ans","Suisse",...,...,...
"1974","Suisse","5-9 ans","Étranger",...,...,...
"1974","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1581,...,...
"1974","Suisse","10-14 ans","Suisse",...,...,...
"1974","Suisse","10-14 ans","Étranger",...,...,...
"1974","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",936,...,...
"1974","Suisse","15-19 ans","Suisse",...,...,...
"1974","Suisse","15-19 ans","Étranger",...,...,...
"1974","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",1163,...,...
"1974","Suisse","20 ans ou plus","Suisse",...,...,...
"1974","Suisse","20 ans ou plus","Étranger",...,...,...
"1975","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",8917,...,...
"1975","Suisse","Durée du mariage - total","Suisse",...,...,...
"1975","Suisse","Durée du mariage - total","Étranger",...,...,...
"1975","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1935,...,...
"1975","Suisse","0-4 ans","Suisse",...,...,...
"1975","Suisse","0-4 ans","Étranger",...,...,...
"1975","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",2895,...,...
"1975","Suisse","5-9 ans","Suisse",...,...,...
"1975","Suisse","5-9 ans","Étranger",...,...,...
"1975","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1772,...,...
"1975","Suisse","10-14 ans","Suisse",...,...,...
"1975","Suisse","10-14 ans","Étranger",...,...,...
"1975","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1059,...,...
"1975","Suisse","15-19 ans","Suisse",...,...,...
"1975","Suisse","15-19 ans","Étranger",...,...,...
"1975","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",1256,...,...
"1975","Suisse","20 ans ou plus","Suisse",...,...,...
"1975","Suisse","20 ans ou plus","Étranger",...,...,...
"1976","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",9583,...,...
"1976","Suisse","Durée du mariage - total","Suisse",...,...,...
"1976","Suisse","Durée du mariage - total","Étranger",...,...,...
"1976","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2004,...,...
"1976","Suisse","0-4 ans","Suisse",...,...,...
"1976","Suisse","0-4 ans","Étranger",...,...,...
"1976","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3094,...,...
"1976","Suisse","5-9 ans","Suisse",...,...,...
"1976","Suisse","5-9 ans","Étranger",...,...,...
"1976","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1994,...,...
"1976","Suisse","10-14 ans","Suisse",...,...,...
"1976","Suisse","10-14 ans","Étranger",...,...,...
"1976","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1133,...,...
"1976","Suisse","15-19 ans","Suisse",...,...,...
"1976","Suisse","15-19 ans","Étranger",...,...,...
"1976","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",1358,...,...
"1976","Suisse","20 ans ou plus","Suisse",...,...,...
"1976","Suisse","20 ans ou plus","Étranger",...,...,...
"1977","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",10474,...,...
"1977","Suisse","Durée du mariage - total","Suisse",...,...,...
"1977","Suisse","Durée du mariage - total","Étranger",...,...,...
"1977","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2117,...,...
"1977","Suisse","0-4 ans","Suisse",...,...,...
"1977","Suisse","0-4 ans","Étranger",...,...,...
"1977","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3376,...,...
"1977","Suisse","5-9 ans","Suisse",...,...,...
"1977","Suisse","5-9 ans","Étranger",...,...,...
"1977","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2176,...,...
"1977","Suisse","10-14 ans","Suisse",...,...,...
"1977","Suisse","10-14 ans","Étranger",...,...,...
"1977","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1314,...,...
"1977","Suisse","15-19 ans","Suisse",...,...,...
"1977","Suisse","15-19 ans","Étranger",...,...,...
"1977","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",1491,...,...
"1977","Suisse","20 ans ou plus","Suisse",...,...,...
"1977","Suisse","20 ans ou plus","Étranger",...,...,...
"1978","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",10497,...,...
"1978","Suisse","Durée du mariage - total","Suisse",...,...,...
"1978","Suisse","Durée du mariage - total","Étranger",...,...,...
"1978","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2070,...,...
"1978","Suisse","0-4 ans","Suisse",...,...,...
"1978","Suisse","0-4 ans","Étranger",...,...,...
"1978","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3211,...,...
"1978","Suisse","5-9 ans","Suisse",...,...,...
"1978","Suisse","5-9 ans","Étranger",...,...,...
